Protein accession,Sequence MD digest,Sequence length,Library (analysis),Signature Accession,Signature Description,Start,End,E-value,Status,Date,Interpro accession,Interpro description,GO term,pathways
sp|O75477|ERLN1_HUMAN,69b6eb52050aa11440be2e0feb5d12f7,348,FunFam,G3DSA:3.30.479.30:FF:000009,Erlin-2 isoform 1,52,190,3.50E-87,T,4/11/25,-,-,-,-
sp|O75477|ERLN1_HUMAN,69b6eb52050aa11440be2e0feb5d12f7,348,Phobius,NON_CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",24,348,-,T,4/11/25,-,-,-,-
sp|O75477|ERLN1_HUMAN,69b6eb52050aa11440be2e0feb5d12f7,348,Pfam,PF01145,SPFH domain / Band 7 family,27,209,9.90E-29,T,4/11/25,IPR001107,Band 7 domain,-,Reactome:R-BTA-382556|Reactome:R-BTA-5213460|Reactome:R-BTA-5673000|Reactome:R-BTA-5675482|Reactome:R-BTA-8849932|Reactome:R-BTA-8949664|Reactome:R-BTA-8980692|Reactome:R-BTA-9013106|Reactome:R-BTA-9696264|Reactome:R-BTA-9696273|Reactome:R-BTA-9840373|Reactome:R-CEL-2672351|Reactome:R-CEL-373753|Reactome:R-CEL-382556|Reactome:R-CEL-5673000|Reactome:R-CEL-6798695|Reactome:R-CEL-8949664|Reactome:R-CEL-8980692|Reactome:R-CEL-9013026|Reactome:R-CEL-9013406|Reactome:R-CEL-9013407|Reactome:R-DME-2672351|Reactome:R-DME-373753|Reactome:R-DME-5673000|Reactome:R-DME-6798695|Reactome:R-DME-8849932|Reactome:R-DME-8949664|Reactome:R-DME-8980692|Reactome:R-DME-9013026|Reactome:R-DME-9013406|Reactome:R-DME-9013407|Reactome:R-DRE-382556|Reactome:R-DRE-8849932|Reactome:R-DRE-8980692|Reactome:R-DRE-9696264|Reactome:R-DRE-9696273|Reactome:R-HSA-2672351|Reactome:R-HSA-373753|Reactome:R-HSA-382556|Reactome:R-HSA-5213460|Reactome:R-HSA-5655302|Reactome:R-HSA-5673000|Reactome:R-HSA-5675482|Reactome:R-HSA-5678895|Reactome:R-HSA-6798695|Reactome:R-HSA-6802946|Reactome:R-HSA-6802955|Reactome:R-HSA-8849932|Reactome:R-HSA-8853336|Reactome:R-HSA-8949664|Reactome:R-HSA-8980692|Reactome:R-HSA-9013026|Reactome:R-HSA-9013106|Reactome:R-HSA-9013148|Reactome:R-HSA-9013406|Reactome:R-HSA-9013407|Reactome:R-HSA-9013409|Reactome:R-HSA-9649948|Reactome:R-HSA-9696264|Reactome:R-HSA-9696273|Reactome:R-HSA-9840373|Reactome:R-MMU-2672351|Reactome:R-MMU-373753|Reactome:R-MMU-382556|Reactome:R-MMU-5213460|Reactome:R-MMU-5673000|Reactome:R-MMU-5675482|Reactome:R-MMU-6798695|Reactome:R-MMU-8849932|Reactome:R-MMU-8949664|Reactome:R-MMU-8980692|Reactome:R-MMU-9013026|Reactome:R-MMU-9013106|Reactome:R-MMU-9013406|Reactome:R-MMU-9013407|Reactome:R-MMU-9696264|Reactome:R-MMU-9696273|Reactome:R-MMU-9840373|Reactome:R-RNO-373753|Reactome:R-RNO-382556|Reactome:R-RNO-5213460|Reactome:R-RNO-5673000|Reactome:R-RNO-5675482|Reactome:R-RNO-8849932|Reactome:R-RNO-8949664|Reactome:R-RNO-8980692|Reactome:R-RNO-9013026|Reactome:R-RNO-9696264|Reactome:R-RNO-9696273|Reactome:R-RNO-9840373|Reactome:R-SSC-5213460|Reactome:R-SSC-5675482|Reactome:R-SSC-8849932|Reactome:R-SSC-8980692|Reactome:R-SSC-9013026|Reactome:R-SSC-9013106|Reactome:R-XTR-382556|Reactome:R-XTR-9840373
sp|O75477|ERLN1_HUMAN,69b6eb52050aa11440be2e0feb5d12f7,348,MobiDBLite,mobidb-lite,consensus disorder prediction,339,348,-,T,4/11/25,-,-,-,-
sp|O75477|ERLN1_HUMAN,69b6eb52050aa11440be2e0feb5d12f7,348,PANTHER,PTHR15351,ERLIN (ER LIPID RAFT ASSOCIATED PROTEIN) HOMOLOG,2,317,0,T,4/11/25,IPR033294,Erlin1/2,GO:0005783(InterPro)|GO:0005789(PANTHER)|GO:0015485(PANTHER)|GO:0031625(InterPro)|GO:0032933(PANTHER),Reactome:R-BTA-382556|Reactome:R-CEL-382556|Reactome:R-DRE-382556|Reactome:R-HSA-382556|Reactome:R-HSA-5655302|Reactome:R-HSA-5678895|Reactome:R-HSA-8853336|Reactome:R-MMU-382556|Reactome:R-RNO-382556|Reactome:R-XTR-382556
sp|O75477|ERLN1_HUMAN,69b6eb52050aa11440be2e0feb5d12f7,348,CDD,cd03406,SPFH_like_u3,23,310,0,T,4/11/25,IPR033294,Erlin1/2,GO:0005783(InterPro)|GO:0031625(InterPro),Reactome:R-BTA-382556|Reactome:R-CEL-382556|Reactome:R-DRE-382556|Reactome:R-HSA-382556|Reactome:R-HSA-5655302|Reactome:R-HSA-5678895|Reactome:R-HSA-8853336|Reactome:R-MMU-382556|Reactome:R-RNO-382556|Reactome:R-XTR-382556
sp|O75477|ERLN1_HUMAN,69b6eb52050aa11440be2e0feb5d12f7,348,Phobius,SIGNAL_PEPTIDE_N_REGION,N-terminal region of a signal peptide.,1,7,-,T,4/11/25,-,-,-,-
sp|O75477|ERLN1_HUMAN,69b6eb52050aa11440be2e0feb5d12f7,348,Phobius,SIGNAL_PEPTIDE_H_REGION,Hydrophobic region of a signal peptide.,8,19,-,T,4/11/25,-,-,-,-
sp|O75477|ERLN1_HUMAN,69b6eb52050aa11440be2e0feb5d12f7,348,SUPERFAMILY,SSF117892,Band 7/SPFH domain,55,186,1.18E-07,T,4/11/25,IPR036013,Band 7/SPFH domain superfamily,-,Reactome:R-BTA-382556|Reactome:R-BTA-5213460|Reactome:R-BTA-5673000|Reactome:R-BTA-5675482|Reactome:R-BTA-8849932|Reactome:R-BTA-8949664|Reactome:R-BTA-8980692|Reactome:R-BTA-9013106|Reactome:R-BTA-9696264|Reactome:R-BTA-9696273|Reactome:R-BTA-9840373|Reactome:R-CEL-2672351|Reactome:R-CEL-373753|Reactome:R-CEL-382556|Reactome:R-CEL-5673000|Reactome:R-CEL-6798695|Reactome:R-CEL-8949664|Reactome:R-CEL-8980692|Reactome:R-CEL-9013026|Reactome:R-CEL-9013406|Reactome:R-CEL-9013407|Reactome:R-DDI-6798695|Reactome:R-DME-2672351|Reactome:R-DME-373753|Reactome:R-DME-5673000|Reactome:R-DME-6798695|Reactome:R-DME-8849932|Reactome:R-DME-8949664|Reactome:R-DME-8980692|Reactome:R-DME-9013026|Reactome:R-DME-9013406|Reactome:R-DME-9013407|Reactome:R-DRE-382556|Reactome:R-DRE-6798695|Reactome:R-DRE-8849932|Reactome:R-DRE-8980692|Reactome:R-DRE-9696264|Reactome:R-DRE-9696273|Reactome:R-HSA-2672351|Reactome:R-HSA-373753|Reactome:R-HSA-382556|Reactome:R-HSA-5213460|Reactome:R-HSA-5655302|Reactome:R-HSA-5673000|Reactome:R-HSA-5675482|Reactome:R-HSA-5678895|Reactome:R-HSA-6798695|Reactome:R-HSA-6802946|Reactome:R-HSA-6802955|Reactome:R-HSA-8849932|Reactome:R-HSA-8853336|Reactome:R-HSA-8949664|Reactome:R-HSA-8980692|Reactome:R-HSA-9013026|Reactome:R-HSA-9013106|Reactome:R-HSA-9013148|Reactome:R-HSA-9013406|Reactome:R-HSA-9013407|Reactome:R-HSA-9013409|Reactome:R-HSA-9649948|Reactome:R-HSA-9696264|Reactome:R-HSA-9696273|Reactome:R-HSA-9840373|Reactome:R-MMU-2672351|Reactome:R-MMU-373753|Reactome:R-MMU-382556|Reactome:R-MMU-5213460|Reactome:R-MMU-5673000|Reactome:R-MMU-5675482|Reactome:R-MMU-6798695|Reactome:R-MMU-8849932|Reactome:R-MMU-8949664|Reactome:R-MMU-8980692|Reactome:R-MMU-9013026|Reactome:R-MMU-9013106|Reactome:R-MMU-9013406|Reactome:R-MMU-9013407|Reactome:R-MMU-9696264|Reactome:R-MMU-9696273|Reactome:R-MMU-9840373|Reactome:R-RNO-373753|Reactome:R-RNO-382556|Reactome:R-RNO-5213460|Reactome:R-RNO-5673000|Reactome:R-RNO-5675482|Reactome:R-RNO-6798695|Reactome:R-RNO-8849932|Reactome:R-RNO-8949664|Reactome:R-RNO-8980692|Reactome:R-RNO-9013026|Reactome:R-RNO-9696264|Reactome:R-RNO-9696273|Reactome:R-RNO-9840373|Reactome:R-SSC-5213460|Reactome:R-SSC-5675482|Reactome:R-SSC-8849932|Reactome:R-SSC-8980692|Reactome:R-SSC-9013026|Reactome:R-SSC-9013106|Reactome:R-XTR-382556|Reactome:R-XTR-9840373
sp|O75477|ERLN1_HUMAN,69b6eb52050aa11440be2e0feb5d12f7,348,Phobius,SIGNAL_PEPTIDE_C_REGION,C-terminal region of a signal peptide.,20,23,-,T,4/11/25,-,-,-,-
